Em ordem decrescente:

App: Facebook, Número de Reviews: 78158306
App: WhatsApp Messenger, Número de Reviews: 69119316
App: Instagram, Número de Reviews: 66577313
App: Messenger – Text and Video Chat for Free, Número de Reviews: 56642847
App: Clash of Clans, Número de Reviews: 44891723
App: Clean Master- Space Cleaner & Antivirus, Número de Reviews: 42916526
App: Subway Surfers, Número de Reviews: 27722264
App: YouTube, Número de Reviews: 25655305
App: Security Master - Antivirus, VPN, AppLock, Booster, Número de Reviews: 24900999
App: Clash Royale, Número de Reviews: 23133508
